value,abbr,offset,isdst,text,utc/0,utc/1,utc/2,utc/3,utc/4,utc/5,utc/6,utc/7,utc/8,utc/9,utc/10,utc/11,utc/12,utc/13,utc/14,utc/15,utc/16,utc/17,utc/18,utc/19,utc/20,utc/21,utc/22,utc/23,utc/24,utc/25,utc/26,utc/27,utc/28,utc/29
West Asia Standard Time,WAST,5,false,"(UTC+05:00) Ashgabat, Tashkent",Antarctica/Mawson,Asia/Aqtau,Asia/Aqtobe,Asia/Ashgabat,Asia/Dushanbe,Asia/Oral,Asia/Samarkand,Asia/Tashkent,Etc/GMT-5,Indian/Kerguelen,Indian/Maldives,,,,,,,,,,,,,,,,,,,
Yekaterinburg Time,YEKT,5,false,(UTC+05:00) Yekaterinburg,Asia/Yekaterinburg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pakistan Standard Time,PKT,5,false,"(UTC+05:00) Islamabad, Karachi",Asia/Karachi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
India Standard Time,IST,5.5,false,"(UTC+05:30) Chennai, Kolkata, Mumbai, New Delhi",Asia/Kolkata,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sri Lanka Standard Time,SLST,5.5,false,(UTC+05:30) Sri Jayawardenepura,Asia/Colombo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nepal Standard Time,NST,5.75,false,(UTC+05:45) Kathmandu,Asia/Kathmandu,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Central Asia Standard Time,CAST,6,false,(UTC+06:00) Nur-Sultan (Astana),Antarctica/Vostok,Asia/Almaty,Asia/Bishkek,Asia/Qyzylorda,Asia/Urumqi,Etc/GMT-6,Indian/Chagos,,,,,,,,,,,,,,,,,,,,,,,
Bangladesh Standard Time,BST,6,false,(UTC+06:00) Dhaka,Asia/Dhaka,Asia/Thimphu,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Myanmar Standard Time,MST,6.5,false,(UTC+06:30) Yangon (Rangoon),Asia/Rangoon,Indian/Cocos,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SE Asia Standard Time,SAST,7,false,"(UTC+07:00) Bangkok, Hanoi, Jakarta",Antarctica/Davis,Asia/Bangkok,Asia/Hovd,Asia/Jakarta,Asia/Phnom_Penh,Asia/Pontianak,Asia/Saigon,Asia/Vientiane,Etc/GMT-7,Indian/Christmas,,,,,,,,,,,,,,,,,,,,
N. Central Asia Standard Time,NCAST,7,false,(UTC+07:00) Novosibirsk,Asia/Novokuznetsk,Asia/Novosibirsk,Asia/Omsk,,,,,,,,,,,,,,,,,,,,,,,,,,,
China Standard Time,CST,8,false,"(UTC+08:00) Beijing, Chongqing, Hong Kong, Urumqi",Asia/Hong_Kong,Asia/Macau,Asia/Shanghai,,,,,,,,,,,,,,,,,,,,,,,,,,,
North Asia Standard Time,NAST,8,false,(UTC+08:00) Krasnoyarsk,Asia/Krasnoyarsk,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Singapore Standard Time,MPST,8,false,"(UTC+08:00) Kuala Lumpur, Singapore",Asia/Brunei,Asia/Kuala_Lumpur,Asia/Kuching,Asia/Makassar,Asia/Manila,Asia/Singapore,Etc/GMT-8,,,,,,,,,,,,,,,,,,,,,,,
W. Australia Standard Time,WAST,8,false,(UTC+08:00) Perth,Antarctica/Casey,Australia/Perth,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Taipei Standard Time,TST,8,false,(UTC+08:00) Taipei,Asia/Taipei,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ulaanbaatar Standard Time,UST,8,false,(UTC+08:00) Ulaanbaatar,Asia/Choibalsan,Asia/Ulaanbaatar,,,,,,,,,,,,,,,,,,,,,,,,,,,,
North Asia East Standard Time,NAEST,8,false,(UTC+08:00) Irkutsk,Asia/Irkutsk,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Japan Standard Time,JST,9,false,"(UTC+09:00) Osaka, Sapporo, Tokyo",Asia/Dili,Asia/Jayapura,Asia/Tokyo,Etc/GMT-9,Pacific/Palau,,,,,,,,,,,,,,,,,,,,,,,,,
Korea Standard Time,KST,9,false,(UTC+09:00) Seoul,Asia/Pyongyang,Asia/Seoul,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cen. Australia Standard Time,CAST,9.5,false,(UTC+09:30) Adelaide,Australia/Adelaide,Australia/Broken_Hill,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AUS Central Standard Time,ACST,9.5,false,(UTC+09:30) Darwin,Australia/Darwin,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
E. Australia Standard Time,EAST,10,false,(UTC+10:00) Brisbane,Australia/Brisbane,Australia/Lindeman,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AUS Eastern Standard Time,AEST,10,false,"(UTC+10:00) Canberra, Melbourne, Sydney",Australia/Melbourne,Australia/Sydney,,,,,,,,,,,,,,,,,,,,,,,,,,,,
West Pacific Standard Time,WPST,10,false,"(UTC+10:00) Guam, Port Moresby",Antarctica/DumontDUrville,Etc/GMT-10,Pacific/Guam,Pacific/Port_Moresby,Pacific/Saipan,Pacific/Truk,,,,,,,,,,,,,,,,,,,,,,,,
Tasmania Standard Time,TST,10,false,(UTC+10:00) Hobart,Australia/Currie,Australia/Hobart,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Yakutsk Standard Time,YST,9,false,(UTC+09:00) Yakutsk,Asia/Chita,Asia/Khandyga,Asia/Yakutsk,,,,,,,,,,,,,,,,,,,,,,,,,,,
Central Pacific Standard Time,CPST,11,false,"(UTC+11:00) Solomon Is., New Caledonia",Antarctica/Macquarie,Etc/GMT-11,Pacific/Efate,Pacific/Guadalcanal,Pacific/Kosrae,Pacific/Noumea,Pacific/Ponape,,,,,,,,,,,,,,,,,,,,,,,
Vladivostok Standard Time,VST,11,false,(UTC+11:00) Vladivostok,Asia/Sakhalin,Asia/Ust-Nera,Asia/Vladivostok,,,,,,,,,,,,,,,,,,,,,,,,,,,
New Zealand Standard Time,NZST,12,false,"(UTC+12:00) Auckland, Wellington",Antarctica/McMurdo,Pacific/Auckland,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UTC+12,U,12,false,(UTC+12:00) Coordinated Universal Time+12,Etc/GMT-12,Pacific/Funafuti,Pacific/Kwajalein,Pacific/Majuro,Pacific/Nauru,Pacific/Tarawa,Pacific/Wake,Pacific/Wallis,,,,,,,,,,,,,,,,,,,,,,
Fiji Standard Time,FST,12,false,(UTC+12:00) Fiji,Pacific/Fiji,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Magadan Standard Time,MST,12,false,(UTC+12:00) Magadan,Asia/Anadyr,Asia/Kamchatka,Asia/Magadan,Asia/Srednekolymsk,,,,,,,,,,,,,,,,,,,,,,,,,,
Kamchatka Standard Time,KDT,13,true,(UTC+12:00) Petropavlovsk-Kamchatsky - Old,Asia/Kamchatka,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tonga Standard Time,TST,13,false,(UTC+13:00) Nuku'alofa,Etc/GMT-13,Pacific/Enderbury,Pacific/Fakaofo,Pacific/Tongatapu,,,,,,,,,,,,,,,,,,,,,,,,,,
Samoa Standard Time,SST,13,false,(UTC+13:00) Samoa,Pacific/Apia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
